,experiences_offered,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,neighbourhood,minimum_nights,maximum_nights
154,none,52.497780000000006,13.383370000000001,Apartment,Private room,2,1.0,1.0,40.0,Kreuzberg,5,760
155,none,52.520759999999996,13.381920000000001,Apartment,Private room,1,1.5,1.0,35.0,Mitte,1,4
156,none,52.5189,13.3009,Apartment,Private room,1,0.0,1.0,51.0,Charlottenburg,1,28
157,none,52.50184,13.35465,Apartment,Private room,3,1.0,1.0,45.0,Tiergarten,3,29
159,none,52.429669999999994,13.32726,Apartment,Private room,2,1.0,1.0,45.0,Lichterfelde,2,15
160,none,52.54063000000001,13.35147,Apartment,Entire home/apt,4,1.0,2.0,75.0,Wedding,1,28
162,none,52.51503,13.44385,Apartment,Entire home/apt,3,1.0,1.0,45.0,Friedrichshain,2,28
165,none,52.40355,13.533729999999998,House,Private room,1,1.5,1.0,35.0,Altglienicke,1,180
166,none,52.51991999999999,13.34149,Apartment,Entire home/apt,2,1.0,1.0,79.0,Hansaviertel,4,365
167,none,52.52206999999999,13.34353,Apartment,Entire home/apt,2,1.0,1.0,79.0,Hansaviertel,5,365
168,none,52.52861,13.405270000000002,Apartment,Private room,2,1.0,1.0,49.0,Mitte,3,60
172,none,52.48417,13.43728,Apartment,Private room,2,1.0,1.0,32.0,Neukölln,2,14
173,none,52.475880000000004,13.607610000000001,Apartment,Entire home/apt,4,1.0,1.0,59.0,Mahlsdorf,7,180
174,none,52.563069999999996,13.365229999999999,House,Entire home/apt,8,2.0,2.0,149.0,Reinickendorf,5,30
176,none,52.58797,13.2784,Apartment,Entire home/apt,2,1.0,1.0,50.0,Tegel,5,30
177,none,52.53697,13.408920000000002,Condominium,Entire home/apt,5,1.0,2.0,88.0,Prenzlauer Berg,3,90
178,none,52.441419999999994,13.46075,Apartment,Entire home/apt,3,1.0,0.0,45.0,Buckow,2,365
181,none,52.479169999999996,13.437870000000002,Apartment,Private room,2,1.0,1.0,31.0,Neukölln,3,60
182,none,52.49958,13.557979999999999,House,Private room,1,2.5,1.0,35.0,Biesdorf,1,1125
183,none,52.523869999999995,13.35781,Apartment,Entire home/apt,2,1.0,1.0,45.0,Moabit,3,365
184,none,52.514869999999995,13.45561,Apartment,Entire home/apt,2,2.0,1.0,100.0,Friedrichshain,4,365
185,none,52.41558,13.164179999999998,Condominium,Entire home/apt,4,1.0,1.0,95.0,Wannsee,5,365
186,none,52.41581,13.16446,Condominium,Entire home/apt,4,1.0,1.0,95.0,Wannsee,5,365
187,none,52.528259999999996,13.33044,Apartment,Entire home/apt,4,1.0,0.0,63.0,Moabit,2,365
188,none,52.53066999999999,13.335320000000001,Apartment,Entire home/apt,5,1.0,1.0,185.0,Moabit,2,1095
189,none,52.5285,13.390670000000002,Apartment,Entire home/apt,5,1.0,2.0,130.0,Mitte,1,1125
190,none,52.5293,13.390839999999999,Apartment,Entire home/apt,8,1.0,2.0,120.0,Mitte,1,365
191,none,52.44596,13.497779999999999,Apartment,Entire home/apt,4,1.5,2.0,68.0,Johannisthal,2,365
192,none,52.521980000000006,13.39059,Apartment,Entire home/apt,6,1.0,3.0,150.0,Mitte,1,1125
193,none,52.524840000000005,13.424470000000001,Apartment,Entire home/apt,2,1.0,1.0,70.0,Friedrichshain,2,1124
194,none,52.54401,13.43987,Condominium,Entire home/apt,4,1.0,1.0,76.0,Prenzlauer Berg,3,365
198,none,52.498819999999995,13.347779999999998,Apartment,Entire home/apt,3,1.0,0.0,53.0,Schöneberg,1,365
199,none,52.481590000000004,13.31364,Apartment,Private room,3,1.0,1.0,45.0,Wilmersdorf,2,760
200,none,52.543,13.42487,Loft,Entire home/apt,2,1.0,1.0,82.0,Prenzlauer Berg,3,4
201,none,52.49511999999999,13.35251,Apartment,Entire home/apt,4,1.0,1.0,69.0,Schöneberg,2,1125
204,none,52.531369999999995,13.408129999999998,House,Private room,1,1.0,1.0,55.0,Prenzlauer Berg,3,365
205,none,52.53098000000001,13.406989999999999,House,Private room,2,1.0,1.0,60.0,Prenzlauer Berg,3,31
206,none,52.530269999999994,13.40789,House,Private room,2,1.0,1.0,60.0,Prenzlauer Berg,3,14
207,none,52.51792,13.30729,Apartment,Entire home/apt,6,2.0,2.0,97.0,Charlottenburg,3,30
208,none,52.52997,13.4078,House,Private room,4,1.0,1.0,95.0,Prenzlauer Berg,3,365
209,none,52.48471,13.359820000000001,Apartment,Entire home/apt,3,1.0,1.0,65.0,Schöneberg,3,21
210,none,52.422979999999995,13.37529,Apartment,Entire home/apt,4,1.0,1.0,61.0,Marienfelde,4,60
211,none,52.51792,13.30729,Apartment,Entire home/apt,4,1.0,1.0,59.0,Charlottenburg,3,365
212,none,52.470130000000005,13.348510000000001,Apartment,Entire home/apt,6,1.0,2.0,74.0,Schöneberg,3,365
213,none,52.49953000000001,13.36546,Condominium,Entire home/apt,6,1.5,2.0,97.0,Tiergarten,3,365
214,none,52.48506999999999,13.346129999999999,Apartment,Entire home/apt,3,1.0,0.0,46.0,Schöneberg,4,365
215,none,52.516040000000004,13.17573,House,Private room,2,1.0,1.0,40.0,Wilhelmstadt,1,1125
218,none,52.51181999999999,13.47093,Apartment,Private room,4,2.0,1.0,32.0,Friedrichshain,2,365
219,none,52.51181999999999,13.47093,Apartment,Private room,5,2.0,1.0,32.0,Friedrichshain,2,365
220,none,52.51181999999999,13.47093,Apartment,Private room,2,2.0,1.0,28.0,Friedrichshain,2,90
221,none,52.49114,13.42831,Apartment,Private room,2,1.0,1.0,49.0,Neukölln,3,100
225,none,52.50898000000001,13.46649,Apartment,Entire home/apt,4,1.0,0.0,55.0,Friedrichshain,3,31
226,none,52.497069999999994,13.3849,Apartment,Entire home/apt,5,1.0,2.0,75.0,Kreuzberg,3,365
227,none,52.497009999999996,13.4437,Apartment,Entire home/apt,4,1.0,2.0,96.0,Kreuzberg,2,365
228,none,52.39179,13.410110000000001,Apartment,Entire home/apt,6,2.0,2.0,58.0,Lichtenrade,3,365
229,none,52.508759999999995,13.46817,Apartment,Entire home/apt,4,1.0,1.0,50.0,Friedrichshain,4,365
230,none,52.49429,13.417489999999999,Apartment,Private room,1,1.0,1.0,44.0,Kreuzberg,1,14
231,none,52.4637,13.34194,Apartment,Entire home/apt,2,1.0,2.0,65.0,Steglitz,2,365
232,none,52.53949,13.41615,Apartment,Entire home/apt,3,1.5,0.0,109.0,Prenzlauer Berg,1,1125
233,none,52.51908,13.39615,Loft,Entire home/apt,2,1.5,1.0,168.0,Mitte,1,1125
234,none,52.424820000000004,13.44685,Apartment,Entire home/apt,4,1.0,1.0,55.0,Buckow,1,365
235,none,52.4893,13.426060000000001,Apartment,Private room,2,1.0,1.0,45.0,Neukölln,2,31
237,none,52.509769999999996,13.44602,Hostel,Private room,4,1.0,1.0,85.0,Friedrichshain,1,7
238,none,52.509769999999996,13.44602,Hostel,Private room,1,0.0,1.0,19.0,Friedrichshain,1,365
239,none,52.509769999999996,13.44602,Hostel,Private room,2,0.0,1.0,59.0,Friedrichshain,1,365
240,none,52.509769999999996,13.44602,Hostel,Private room,2,0.0,1.0,29.0,Friedrichshain,1,365
241,none,52.509769999999996,13.44602,Hostel,Shared room,3,0.0,1.0,18.0,Friedrichshain,1,365
242,none,52.509769999999996,13.44602,Hostel,Shared room,4,0.0,1.0,20.0,Friedrichshain,1,365
243,none,52.499590000000005,13.43811,Apartment,Private room,2,1.0,1.0,40.0,Kreuzberg,3,21
245,none,52.45117,13.48789,Apartment,Entire home/apt,4,1.0,1.0,85.0,Baumschulenweg,3,365
246,none,52.50918000000001,13.460360000000001,Apartment,Entire home/apt,2,1.0,1.0,48.0,Friedrichshain,3,365
247,none,52.47558000000001,13.50748,Townhouse,Private room,3,1.0,1.0,35.0,Karlshorst,2,60
249,none,52.53785,13.398179999999998,Apartment,Entire home/apt,3,1.0,1.0,129.0,Mitte,3,62
250,none,52.54416,13.42026,Apartment,Entire home/apt,4,1.0,1.0,65.0,Prenzlauer Berg,2,300
251,none,52.41733,13.541889999999999,House,Entire home/apt,3,1.5,2.0,47.0,Altglienicke,3,90
252,none,52.41939,13.48618,Apartment,Entire home/apt,4,1.0,1.0,55.0,Rudow,5,30
253,none,52.495630000000006,13.40094,Apartment,Entire home/apt,4,1.0,1.0,65.0,Kreuzberg,1,365
254,none,52.54336,13.41736,Apartment,Entire home/apt,3,1.0,1.0,89.0,Prenzlauer Berg,1,1125
255,none,52.503919999999994,13.420639999999999,Apartment,Private room,2,1.0,1.0,40.0,Kreuzberg,4,10
256,none,52.497409999999995,13.296510000000001,Apartment,Entire home/apt,8,2.5,2.0,125.0,Halensee,3,160
257,none,52.54179,13.35419,Apartment,Entire home/apt,4,1.0,1.0,61.0,Wedding,3,365
258,none,52.529630000000004,13.404639999999999,Apartment,Entire home/apt,2,1.0,1.0,65.0,Mitte,3,760
260,none,52.50075,13.44546,Apartment,Private room,2,1.0,7.0,55.0,Kreuzberg,2,20
261,none,52.53239,13.400970000000001,Apartment,Entire home/apt,2,1.5,1.0,120.0,Mitte,7,1125
263,none,52.4836,13.43745,Apartment,Private room,1,1.0,1.0,40.0,Neukölln,4,90
264,none,52.53013000000001,13.4044,Apartment,Entire home/apt,2,1.0,1.0,68.0,Mitte,5,365
266,none,52.507740000000005,13.303460000000001,Apartment,Private room,1,1.0,1.0,29.0,Charlottenburg,3,90
267,none,52.51761,13.296879999999998,Apartment,Entire home/apt,2,1.0,1.0,50.0,Charlottenburg,3,365
269,none,52.51761,13.296879999999998,Apartment,Entire home/apt,2,1.0,1.0,50.0,Charlottenburg,3,365
270,none,52.51761,13.296879999999998,Apartment,Entire home/apt,2,1.0,1.0,53.0,Charlottenburg,3,365
271,none,52.51841999999999,13.29585,Apartment,Entire home/apt,2,1.0,1.0,50.0,Charlottenburg,3,365
272,none,52.53075,13.39555,Apartment,Entire home/apt,5,2.0,2.0,120.0,Mitte,4,365
274,none,52.5329,13.42622,Apartment,Entire home/apt,2,1.0,1.0,64.0,Prenzlauer Berg,2,365
276,none,52.52944,13.427629999999999,Apartment,Private room,2,1.0,1.0,66.0,Prenzlauer Berg,4,30
277,none,52.527080000000005,13.391020000000001,Apartment,Private room,2,1.0,1.0,59.0,Mitte,2,1125
278,none,52.55381,13.405529999999999,Apartment,Private room,2,2.0,1.0,37.0,Prenzlauer Berg,2,1125
279,none,52.5471,13.407160000000001,Apartment,Entire home/apt,2,1.0,1.0,69.0,Prenzlauer Berg,3,100
280,none,52.539919999999995,13.42176,Apartment,Entire home/apt,4,1.0,2.0,165.0,Prenzlauer Berg,4,365
281,none,52.499069999999996,13.31281,Apartment,Entire home/apt,2,1.0,1.0,70.0,Wilmersdorf,4,1125
282,none,52.53745,13.42728,Apartment,Entire home/apt,2,1.0,1.0,65.0,Prenzlauer Berg,3,20
283,none,52.51963000000001,13.405829999999998,Apartment,Private room,3,1.5,1.0,40.0,Mitte,3,1125
284,none,52.49599,13.35716,Apartment,Entire home/apt,8,2.0,3.0,235.0,Schöneberg,3,90
288,none,52.513009999999994,13.46434,Apartment,Private room,2,1.0,1.0,30.0,Friedrichshain,2,7
289,none,52.52881,13.388470000000002,Apartment,Entire home/apt,6,1.0,1.0,84.0,Mitte,1,30
290,none,52.47034,13.336770000000001,Other,Private room,2,1.0,1.0,43.0,Friedenau,2,60
291,none,52.53164,13.40554,Apartment,Entire home/apt,2,1.0,1.0,77.0,Mitte,7,120
292,none,52.51744,13.43315,Apartment,Private room,2,1.0,1.0,38.0,Friedrichshain,4,1124
293,none,52.464009999999995,13.342429999999998,Apartment,Entire home/apt,2,1.0,1.0,45.0,Schöneberg,2,1125
294,none,52.46236999999999,13.34418,Apartment,Entire home/apt,2,1.0,1.0,50.0,Schöneberg,2,1125
295,none,52.53471,13.40359,Condominium,Entire home/apt,7,1.0,2.0,149.0,Mitte,1,1125
296,none,52.540530000000004,13.43765,Apartment,Entire home/apt,4,1.0,0.0,100.0,Prenzlauer Berg,3,200
297,none,52.542280000000005,13.43639,Apartment,Entire home/apt,4,1.0,0.0,105.0,Prenzlauer Berg,3,93
298,none,52.48348000000001,13.429089999999999,Apartment,Private room,2,2.0,1.0,28.0,Neukölln,3,60
299,none,52.48348000000001,13.429089999999999,Apartment,Private room,3,2.0,1.0,47.0,Neukölln,3,60
300,none,52.48348000000001,13.429089999999999,Apartment,Private room,3,1.0,1.0,47.0,Neukölln,3,60
302,none,52.4847,13.431220000000001,Apartment,Entire home/apt,2,1.0,2.0,30.0,Neukölln,4,30
303,none,52.464009999999995,13.31492,Apartment,Private room,2,1.0,1.0,55.0,Steglitz,3,21
304,none,52.5022,13.432929999999999,Apartment,Entire home/apt,4,1.0,2.0,72.0,Kreuzberg,3,365
305,none,52.480709999999995,13.35484,Apartment,Private room,2,1.5,1.0,35.0,Schöneberg,5,25
306,none,52.55223,13.414660000000001,Apartment,Private room,2,1.0,1.0,58.0,Prenzlauer Berg,2,6
308,none,52.52523000000001,13.406310000000001,Apartment,Entire home/apt,2,1.0,1.0,95.0,Mitte,4,14
309,none,52.49951,13.40051,Apartment,Entire home/apt,5,1.0,1.0,65.0,Kreuzberg,2,365
310,none,52.51321,13.45825,Apartment,Entire home/apt,2,1.0,1.0,60.0,Friedrichshain,1,1125
311,none,52.53754,13.41968,Apartment,Private room,2,1.0,1.0,66.0,Prenzlauer Berg,2,1125
313,none,52.48836,13.39365,Apartment,Private room,2,1.0,1.0,35.0,Kreuzberg,2,29
314,none,52.5287,13.406379999999999,Apartment,Entire home/apt,1,1.0,1.0,65.0,Mitte,5,30
315,none,52.41265,13.549879999999998,House,Entire home/apt,4,1.0,2.0,74.0,Altglienicke,6,20
